Location Searched,Insoection vs Plan Check,Address,Last Activity Date,Last Activity Action,Status of Latest Action,Permit No.,Type of Project,Project Description
palo alto,Plam Check,1101 Welch Rd Suite A3,Mar 3 2011,FIR - Approved,Approved,11000-00484,Permit: #11000-00484,U&O "GENERAL CLINICAL RESEARCH CENTER STANFORD HOSPITAL AND CLINICS",
palo alto,Plam Check,1101 Welch Rd Bldg C3,Mar 3 2011,FIR - Approved,Approved,11000-00485,Permit: #11000-00485,U&O "GENERAL CLINICAL RESEARCH CENTER STANFORD HOSPITAL AND CLINICS",
palo alto,— Inspection,457 Forest Ave Av,Aug 19 2011,Permit Issued,Approved,11000-00486,Permit: #11000-00486,ADD (1) CARPORT,
palo alto,Plam Check,102 University Av Suite 1 A,Dec 8 2015,Permit Issued,Plan check not required,15000-03178,Com Remodel/Repair,REPLACE (2) DAMAGED WINDOWS WITH SAME GLASS SPEC GLASS.,
palo alto,Plam Check,901 California Av,Jun 22 2016,In Plan Check,Not approved,16000-01541,Com Elect/Plbg/Mech only,ARCHITECTURAL STRUCTURAL AND ELECTRICAL SCOPE INSTALLATION OF 4 NEW ELECTRICAL CAR CHARGER UNITS,
palo alto,— Inspection,857 Robb Rd,Dec 17 2013,WGW - Approved With Conditions,Approved,12000-02819,Permit: #12000-02819,NEW POOL / SPA WITH ASSOCIATED EQUIPMENT.,
palo alto,— Intake,3445 Alma St,Mar 18 2014,Permit Issued,Plan check required,14REV-00159,Permit: #14REV-00159,(13000-02603) RELOCATE STORE FRONT CHANGES POTTING PLANTS,
palo alto,— Inspection,3101 Park Bl,Jul 31 2014,Permit Issued,Approved,14000-01663,Res Elect/Plbg/Mech only,ELECTRICAL FOR NEW ILLUMINATED SIGN,
palo alto,— Permit,1960 Edgewood Dr,Feb 13 2012,Permit Issued,Permit Issued,11000-02619,Permit: #12REV-00084,11-2619; REVISE PLANS TO INCLUDE NEW EGRESS WINDOWS AT (2) BEDROOMS AND BATHROOM. REPLACE FLAT ROOF AREA LIKE FOR LIFE CLASS "A" ASSEMBLY TAR AND GRAVEL.,
palo alto,— Inspection,551 Hale St,May 16 2012,Permit Issued,Approved,11000-01900,Permit: #12000-00529,RESIDENTIAL ROOFTOP MOUNTED PV SYSTEM,
palo alto,Plam Check,200 Page Mill Rd,Apr 18 2016,Permit Issued,Approved,16000-00686,Com Remodel/Repair,MODIFICATION OF AN EXISTING WIRELESS FACILITY ON BUILDING ROOFTOP. ADD 3 NEW 4' TALL DUAL 700 MHZ ANTENNAS TO AN EXISTING STRUCTURE. ADD 3 NEW RRU'S TO EXISTING STRUCTURE. NEW ANTENNAS AND RRU'S TO BE INSTALLED BEHIND EXISTING SCREENING.,
palo alto,— Inspection,3431 Hillview Av,Aug 11 2015,Permit Issued,Approved,15000-01348,Com Remodel/Repair,EXISTING FIRM "VMWARE" OFFICE TENANT IMPROVEMENT (1145SF) OF EXISTING CONFERENCE ROOM INTO LOUNGE AND OFFICE SPACE.,
palo alto,— Inspection,324 University Av,Aug 22 2011,Permit Issued,Partially approved,10000-02473,Permit: #11000-02050,Backflow Installation,
palo alto,— Permit,970 Matadero Av,Sep 9 2014,Permit Issued,Permit Issued,12000-03114,Revision,12-3113: DEFERRED EXTERIOR STAIR STRUCTURAL.,
palo alto,— Inspection,3706 Redwood Ci,Nov 16 2015,Permit Issued,Approved,15000-00637,Web-Re-roofing,Sweep and clean debris off roof. Spray and apply foam and coatings,
palo alto,— Inspection,219 Matadero Av,Oct 14 2014,Permit Issued,Scheduled,14000-01316,Res Remodel/Repair,31 SQ FT HALF BATH ADDITION IN EXISTING ONE GARAGE ADD TWO WINDOWS AT SIDE OF GARAGE AND NEW ELECTRICAL THROUGHOUT GARAGE,
palo alto,— Inspection,520 Rhodes Dr,Mar 12 2013,Permit Issued,Approved,12000-01145,Permit: #12000-01145,NEW SOLAR HOT WATER SYSTEM,
palo alto,— Inspection,3355 Cork Oak Wy,Jun 29 2015,Permit Issued,Approved,15000-00653,Pool/Spa,POOL DEMO AND ASSOCIATED EQUIPMENT,
palo alto,— Permit,465 Hale St,Oct 2 2014,Permit Issued,Permit Issued,12000-00337,Revision,12000-00337: REMOVE WATER INFILTRATOR AND ASSOCIATED DRAINAGE LOCATED IN REAR YARD,
palo alto,— Inspection,4351 Miranda Av,Apr 23 2013,Permit Issued,Approved,13000-00981,Permit: #13000-00981,RESDIDENTIAL REROOF 40 SQUARES W/ NEW SHEATHING (E) SHAKE (N) COMPOSITION ROOF. CONTRACTOR TO SUB WORK TO SOTO ROOFING 650-222-3051,
palo alto,— Inspection,530 Lytton Av,Dec 30 2014,Permit Issued,Scheduled,14000-02904,Com Remodel/Repair,SUITE 300: U&O AND TI FOR "MULTI-MEDIA DEVELOPMENT" (2900 SF); REPLACE (E) DEMOUNTABLE WALLS WITH (N) WALLS ALL IN SAME LOCATIONS (N) CEILING FIXUTRES ASSOCIATED MECHANICAL NO EXTERIOR WORK,
palo alto,Plam Check,3181 Louis Rd,Apr 3 2015,Finaled,,13000-02927,Res Elect/Plbg/Mech only,INSTALL TANKLESS WATER HEATER,
palo alto,— Inspection,4010 Ben Lomond Dr,Jun 5 2015,Permit Issued,Approved,15000-00612,Res Remodel/Repair,RESIDENTIAL ADD 40SF BATHROOM IN MASTER BEDROOM AND 15SF CLOSET,
palo alto,— Permit,16 Tulip Ln,Feb 13 2012,Permit Issued,Permit Issued,11000-02324,Permit: #12REV-00085,11-2324; REVISE PLANS WITH SEWER DIRECT TO MAIN WITH EJECTOR PUPMP.,
palo alto,— Inspection,2002 Tasso St,Mar 7 2012,Permit Issued,Approved,12000-00341,Permit: #12000-00341,INSTALL INGROUND SPA WITH ASSOCIATED ELECTRICAL.,
palo alto,— Permit,448 California Av,Aug 28 2012,Permit Issued,Permit Issued,12000-00340,Permit: #12REV-00462,12-340) SWITCHING SINKS IN THE BAR AREA CHANGING HAND SINK IN THE BACK SWITCHING THE LOCATION OF THE WATER HEATER EXTERIOR CLOSET TO OTHER SIDE OF DOOR.,
palo alto,— Inspection,3505 Cowper St,Feb 15 2012,Permit Issued,Approved,12000-00336,Permit: #12000-00336,REPLACE ELECTRIC SERVICE WITH A 100 AMP PANEL IN THE SAME LOCATION,
palo alto,— Inspection,180 Hamilton Av,May 15 2016,Finaled,Approved,16000-01012,Com Elect/Plbg/Mech only,REPLACE FAILED WATER HEATER,
palo alto,— Inspection,777 San Antonio Av Unit 124,Feb 22 2012,Permit Issued,Approved,12000-00334,Permit: #12000-00334,BUILDING 14 UNIT 124: REMOVE AND REPLACE FAU IN THE SAME LOCATION,
palo alto,— Inspection,272 Creekside Dr,Aug 28 2013,Permit Issued,Approved,13000-01237,Permit: #13000-01237,REPLACE LIKE FOR LIKE WINDOWS (8) AND (1) PATIO DOOR LIKE FOR LIKE,
palo alto,— Inspection,2490 Agnes Wy,Oct 11 2013,Permit Issued,Approved,13000-02486,Permit: #13000-02486,RESIDENTIAL REROOF: 29 SQUARES OF FOAM O/ (E) SHEATHING,
palo alto,— Inspection,566 E Crescent Dr,Sep 10 2013,Permit Issued,Approved,13000-02420,Permit: #13000-02420,REPAIR GAS LEAK,
palo alto,— Inspection,4184 Hubbartt Dr,May 22 2013,Permit Issued,Approved,13000-01327,Permit: #13000-01327,REPLACE FURNACE & AC UNIT IN SAME LOCATIONS.,
palo alto,— Inspection,4150 Thain Wy,Mar 2 2012,Permit Issued,Approved,12000-00347,Permit: #12000-00347,CONDO REMODEL INCLUDES HALL BATH AND PARTIAL MASTER BATH ELECTRICAL.,
palo alto,— Inspection,1520 Middlefield Rd,Mar 29 2012,Permit Issued,Approved,12000-00346,Permit: #12000-00646,RESIDENTIAL FURNACE REPLACEMENT IN BASEMENT,
palo alto,— Permit,2498 Bryant St,Mar 7 2012,Permit Issued,Permit Issued,10000-00573,Permit: #11REV-00404,[10-573] Move wall in master bedroom closet.,
palo alto,— Inspection,4083 El Cerrito Rd,Jan 6 2012,Permit Issued,Approved,11000-02540,Permit: #11000-02540,INSTALL A RESIDENTIAL CAR CHARGER IN THE GARAGE,
palo alto,— Inspection,281 El Verano Av,Sep 18 2013,Permit Issued,Approved,13000-02449,Permit: #13000-02449,RESIDENTIAL SEWER LINE REPLACEMENT. ALL WORK ON PRIVATE SIDE.,
palo alto,— Inspection,1520 Portola Av,Jun 26 2015,Permit Issued,Approved,14000-02280,Web-Re-roofing,remove 20.99 sq of comp and replace with certainteed presidential comp,
palo alto,— Inspection,389 Margarita Av,Jun 1 2016,Permit Issued,Not approved; work not finished,16000-01148,Web-Water Heater - No Tankless,REPLACE WATER HEATER SAME LOCATION,
palo alto,— Inspection,311 Seale Av,Nov 6 2013,Permit Issued,Approved,13000-02894,Permit: #13000-02894,GAS LINE REPAIR. RED TAG.,
palo alto,— Inspection,1050 Page Mill Rd,Apr 26 2016,Permit Issued,Not Approved - Not Ready,15REV-00755,Com Remodel/Repair,TENANT IMPROVEMENT FOR "MACHINE ZONE" REMODEL CAFE AREA 500SF. INCLUDES ADDITIONAL SINK ASSOCIATED MEP.,
palo alto,— Inspection,855 El Camino Real Suite 13,Apr 9 2013,Permit Issued,Approved,13000-00666,Permit: #13000-00666,U&O AND RETAIL TENANT IMPROVEMENT FOR "B. REAL WOMEN'S APPAREL ". RETAIL CLOTHING FIRM TO OCCUPY ~800SF.,
palo alto,— Inspection,1739 Waverley St,Oct 21 2015,Permit Issued,Approved,15000-00175,Res Remodel/Repair,RESIDENTIAL - (N) 100K BTU OUTDOOR BBQ W/ GRILL BURNER AND CABINETS,
palo alto,— Permit,247 Ferne Av,Nov 24 2010,Permit Issued,Permit Issued,10000-00575,Permit: #10REV-00344,10-575: REVISION TO MAKE MAIN PANEL FROM 200 AMPS TO 150 AMPS. TWO DISCONNECTS ADDED,
palo alto,— Inspection,1527 Mariposa Av,Nov 27 2013,Permit Issued,Approved,13000-03110,Permit: #13000-03110,TRENCHLESS PIPEBURST 4" SEWER PIPE APPROX 30 FT. FROM NEW CLEAN-OUT IN FRONT OF HOUSE TO RE-CONNECT AT EXISTING CITY CLEANOUT IN PLANTER STRIP.,
palo alto,— Inspection,470 Coleridge Av,Mar 24 2015,Permit Issued,Approved,15000-00608,Res Elect/Plbg/Mech only,RESIDENTIAL INSTALL NEMA 14-50 OUTLET IN GARAGE FOR LEVEL 3 EVSE,
palo alto,Plam Check,358 Addison Av,Sep 16 2010,Permit Issued,Approved,10000-00549,Permit: #10REV-00260,10-549; REVISED SKYLIGHT AT COVERED PATIO.,
palo alto,— Permit,1050 Page Mill Rd Bldg 1,Mar 18 2010,Permit Issued,Permit Issued,09000-02782,Permit: #10REV-00079,10-101: REVISION TO LOW WALL CONFIGURATION IN CAFE RM 1025. REISSUE OF EXITING PLAN ARCHT SHT A-0.4.1.,
palo alto,— Inspection,452 Maureen Av,Mar 29 2010,Permit Issued,Approved,10000-00553,Permit: #10000-00553,DEMO SFR; (BUILDING PERMIT 10-0192),
palo alto,— Inspection,1024 Emerson St,Mar 17 2015,Permit Issued,Approved,15000-00086,Permit: #15000-00086,KITCHEN REMODEL WITHIN (E) FOOTPRINT. SCOPE OF WORK INCLUDES NEW CABINETS COUNTERS AND SINK. (140 SF) NO LIGHTING BEING TOUCHED.,
palo alto,— Permit,970 Van Auken Ci,Apr 29 2010,Permit Issued,Permit Issued,10REV-00126,Permit: #10REV-00126,REVISION TO 10-447; FOOTING DETAIL CHANGE,
palo alto,Plam Check,377 Diablo Ct,Mar 17 2010,ELE - Routed,Plans received; pending review,10000-00540,Permit: #10000-00540,REMODEL MST BATH & HALL BATH (143 SF) RELOCATE LAUNDRY TO GARAGE INSTALL SHEETRCK & INSULATION AT MST BDR (176 SF) REPLACE 2-WINDOWS & SLIDING DOOR; UPGRADE SERVICE TO 200 AMP IN SAME LOCATION,
palo alto,— Inspection,4147 Briarwood Wy,Sep 2 2011,Permit Issued,Approved,10000-00539,Permit: #10000-01950,T/O (E) TAR & GRAVEL ROOF AND 38 SQUARES OF NEW GTA APP TORCH DOWN WITH NO NEW SHEATHING,
palo alto,— Inspection,3736 Laguna Oaks Pl,Mar 31 2010,Permit Issued,Approved,10000-00537,Permit: #10000-00537,T/0 SHAKES INSTALL 1/2" CDX PLYWD AND CLASS A COMP SHINGLES 1800 SF.,
palo alto,— Permit,521 Everett Av,Mar 17 2010,Permit Issued,Permit Issued,09000-02514,Permit: #10REV-00077,4-PLEX APARTMENT: ADD 2-BATHROOMS AND LAUNDRY RM AT 2ND FL; REPLACE 6-FURNACES (BASEMENT & ATTIC LOCATIONS); NEW 200 AMP SERVICE CONVERT 100-AMP MAIN TO SUBPANEL.,
palo alto,— Permit,4009 Miranda Av Suite 200,Jun 11 2010,Permit Issued,Permit Issued,10000-00554,Permit: #10000-00554,MODIFY EXISTING BATTERY TEST LAB FOR 'BOSCH' INSTALL NEW ROOFTOP HVAC NEW FUME HOOD ELECT PLUMBING LAB EQUIPMENT AND MINOR MILLWORK (INCL USE AND OCCUPANCY NOT FORMERLY FILED) 338 SF.,
palo alto,— Inspection,2303 Ramona St,Apr 27 2010,Permit Issued,Approved,10000-00551,Permit: #10000-00551,INSTALL CABINETS AND BAR SINK IN FAMILY ROOM.,
palo alto,— Inspection,231 Nevada Av,Mar 22 2010,Permit Issued,Approved,10000-00547,Permit: #10000-00547,WHOLE HOUSE GAS TEST AND INSTALL AND FLOOR REPLACE FLOOR FURNACE WITH WALL FURNACE.,
palo alto,— Inspection,800 Charleston Rd Unit 13 16,Mar 31 2010,Permit Issued,Approved,10000-00546,Permit: #10000-00546,REMOVE 1 LAYER COMP ROOF AND INSTALL COMP 50 YEAR. ~6700FT^2 (UNITS 13-16),
palo alto,— Permit,445 Hale St,Mar 18 2010,Permit Issued,Permit Issued,09000-01932,Permit: #10REV-00083,09-410; REVISION,
palo alto,Plam Check,3771 Redwood Cir,May 11 2009,,Approved,09REV-00186,Permit: #09REV-00186,08-2649: REVISION TO MODIFY FOUNDATION AND FOOTING DETAILS,
palo alto,— Inspection,2979 Clara Dr,Apr 24 2009,,Approved,09000-00758,Permit: #09000-00758,TEMP POWER,
palo alto,— Inspection,3981 El Camino Real,Aug 24 2009,Permit Issued,Approved,09000-01261,Permit: #09000-01259,MODULAR BUILDING: BUILDING 1 & 2 FOR CLASS ROOMS (1440 SF).,
palo alto,— Inspection,3901 Laguna Av,Sep 29 2014,Permit Issued,Approved,14000-02407,Res Elect/Plbg/Mech only,RESIDENTIAL 17 FLUSH MOUNTED PV SYSTEM INSTALLATION,
palo alto,— Inspection,431 Dinah's Ct,Mar 31 2010,Permit Issued,Approved,09000-02567,Permit: #09000-02567,"DINAH'S COURT APARTMENTS": REPLACE EXISTING ELECTRICAL METERS/SERVICE (1-600AMP MAIN METER 1-100AMP PANEL 1-200AMP PANEL 23-60AMP APARTMENT METERS),
palo alto,Plam Check,478 Ferne Av,Apr 30 2009,,Approved,09REV-00108,Permit: #09REV-00108,08-2387: STRUCTURAL FOR NEW ARRAY SUPPORT STRUCTURE,
palo alto,— Inspection,3398 El Camino Real,Mar 30 2011,Permit Issued,Rescheduled,09000-00530,Permit: #09000-00530,VOLUNTARY SEISMIC STRENGTHENING AT BLDG H ADA UPGRADES AT PARKING. ***PERMIT APPLICATION EXTENDED TO 03.16.10***,
palo alto,Plam Check,855 El Camino Real Suite 34,,,,14000-03256,Revision,14000-03247: STOCK SHELVING RACKS,
palo alto,— Inspection,653 Arastradero Rd,Feb 2 2010,Permit Issued,Approved,09000-00534,Permit: #09000-00534,SINGLE STORY ADDT (876-SF) AND KITCHEN REMODEL (158-SF) REDMODEL BOTH HALL BATHROOMS: REPLACE ALL FIXTURES SAME LOCATION (108-SF); 10/7/09 ELEC SERVICE UPGRADE ADDED (LOAD SHT RTD TO UTILS FOR 200 AMP SERVICE UPGRADE IN EXISTING UNDERGRD LOCATION).,
palo alto,— Inspection,1072 Tanland Dr Unit 206,Apr 6 2009,,Rescheduled,09000-00541,Permit: #09000-00541,UNIT 206: NEW WASHER/DRYER NEW SUBPANEL & SUBFEED.,
palo alto,— Inspection,1880 Channing Av,Sep 1 2009,,Approved,09000-00551,Permit: #09000-00551,NEW TANKLESS WATER HEATER ON DEDICATED GAS LINE.,
palo alto,— Inspection,1150 Harker Av,May 11 2009,,Approved,09000-00550,Permit: #09000-00550,NEW TANKLESS WATER HEATER,
palo alto,— Inspection,215 Heather Ln,Jul 13 2009,,Approved,09000-00549,Permit: #09000-00549,INSTALL (N) TANKLESS WATER HEATER ON A DEDICATED LINE 38' 1" DIAMETER LINE.,
palo alto,Plam Check,3070 Middlefield Rd,Jul 15 2009,,Approved,09REV-00270,Permit: #09REV-00270,08-2503: TANKLESS WATER HEATER,
palo alto,— Permit,826 Bryant St,Jun 11 2014,Permit Issued,Permit Issued,09000-00547,Permit: #09000-00547,USE & OCCUPANCY FOR EXISTING TENANT "SARAH NABAI DDS" (800 SF).,
palo alto,— Inspection,1950 Louis Rd,Apr 10 2009,,Approved,09000-00546,Permit: #09000-00546,NEW GAS FIREPLACE INSERT IN (E) WOODBURNING FIREPLACE,
palo alto,— Inspection,875 Seale Av,May 13 2009,,Approved,09000-00544,Permit: #09000-00544,REMODEL KITCHEN AND 2-BATHROOMS (234 SF TOTAL),
palo alto,— Inspection,456 Cambridge Av,Jun 10 2015,,Approved,14000-02529,Use & Occupancy only,BEANS N' BITES CAFE: U&O ONLY. 680 SF ON FIRST FLOOR. NO CONSTRUCTION ASSOCIATED.,
palo alto,— Inspection,3329 Saint Michael Dr,May 10 2012,Permit Issued,Approved,12000-00345,Permit: #12000-00345,GARAGE REFRESH AND HALF BATH REMODEL WITH NEW DOOR. FRAME IN WASHER AND DRYER CLOSET.,
palo alto,Plam Check,806 Emerson St,,,,10000-00563,Permit: #11000-00127,Install two 1" backflow valves with expansion tanks,
palo alto,— Inspection,2153 Waverley St,Apr 19 2016,Finaled,Approved,16000-00710,Com Elect/Plbg/Mech only,ADD AN A/C UNIT TO THE SIDE OF THE HOUSE,
palo alto,— Inspection,3179 Greer Rd,Apr 22 2011,Permit Issued,Partially approved,10000-01513,Permit: #11000-00862,UPGRADE MAIN ELECTRICAL PANEL TO 200 AMPS IN THE SAME LOCATION,
palo alto,— Inspection,2896 Waverley St,Nov 20 2014,Permit Issued,Scheduled,14000-02721,Res Elect/Plbg/Mech only,RESIDENTIAL PV: INSTALL 34 PV PANELS,
palo alto,— Inspection,3000 Hanover St,Nov 5 2015,Finaled,Approved,15000-01200,Com Remodel/Repair,TENANT IMPROVEMENT FOR EXISTING TENANT "HEWLETT PACKARD ENTERPRISE" SCOPE OF WORL INCLUDES INTERIOR REMODEL LEVEL C (121124 SF) SERVERY COMMERCIAL KITCHEN RESTROOMS AND CORE UTILITY ROOMS TO REMAIN AS IS. NEW STAIRS TO LEVEL D. NO EXTERIOR WORK.,
palo alto,— Inspection,525 University Ave,Mar 2 2011,Permit Issued,Approved,11000-00489,Permit: #11000-00489,Install backflow prevention device.,
palo alto,— Inspection,2300 Middlefield Rd,Feb 26 2015,Finaled,Approved,14000-00131,Res Remodel/Repair,WINDOW REPLACEMENT: 3 LIVING ROOM AND ONE DINING ROOM WINDOW.,
palo alto,— Inspection,249 Walter Hays Dr,May 17 2011,Permit Issued,Approved,11000-00494,Permit: #11000-00494,WINDOW (14) REPLACEMENT LIKE FOR LIKE,
palo alto,— Inspection,1180 College Av,Apr 11 2011,Permit Issued,Approved,11000-00492,Permit: #11000-00492,COPPER REPIPE FRONT OF HOUSE (KITCHEN SINK FRONT BATHROOM AND MAIN WATER AND MAIN WATER SHUT-OFF VALVE),
palo alto,— Permit,1117 Hamilton Av,Mar 4 2011,Permit Issued,Permit Issued,10000-02152,Permit: #11REV-00100,09-1041: REVISION TO CHANGE 6' HIGH CMU WALL TO 7',
palo alto,— Inspection,2333 Williams St,Jun 28 2011,Permit Issued,Approved,11000-01035,Permit: #11000-01035,REMODEL 3 BATHROOMS AND THE KITCHEN 395 SF,
palo alto,— Inspection,579 Jefferson Dr,Oct 19 2012,Permit Issued,Rescheduled,12000-02408,Permit: #12000-02408,INSTALL GAS PLUMBING FOR FUTURE OUTDOOR GAS EQUIPMENT. ALL EQUIPMENT SHALL BE LISTED BY APPROVED LISTING AGENCY AND INSTALLED PER MANUFACTURER.,
palo alto,— Inspection,877 Lincoln Av,Aug 24 2012,Permit Issued,Approved,11000-01657,Permit: #11000-01657,INSTALL A NEW SWIMMING POOL IN THE REAR YARD OF THE PROPERTY. INSTALL NEW POOL EQUIPMENT THAT INCLUDES 2 MOTORS FILTER AND HEATER. SUBPANEL TO 100 AMPS. POOL EQUIPMENT INSTALLED OUTSIDE ALL REQUIRED SETBACKS.,
palo alto,— Inspection,2740 Ramona St,Apr 5 2011,Permit Issued,Approved,11000-00501,Permit: #11000-00501,ADD AIR CONDITIONING TO EXISTING HEATING SYSTEM,
palo alto,— Inspection,620 Sand Hill Rd,Nov 14 2014,Permit Issued,Approved,14000-02303,Res Remodel/Repair,MULTI FAMILY: UNIT 116E ADD KITCHEN CABINET WITH WALL OVEN TO EXISTING KITHEN RELOCATE 110 OUTLET AND ADD 220 CIRCUIT FOR OVEN.,
palo alto,— Inspection,1727 Waverley St,Feb 28 2011,Permit Issued,Approved,10000-03327,Permit: #11000-00498,TEMP POWER POLE -TEMP POST,
palo alto,— Inspection,2301 Hanover St,Jul 6 2011,,Cancelled,11000-01387,Permit: #11000-01387,INSTALL SPLIT SYSTEM AC UNIT,
palo alto,— Inspection,3070 Louis Rd,Mar 10 2011,Permit Issued,Approved,11000-00496,Permit: #11000-00496,INSTALL A BACKWATER FLOW VAVLE & EXPANSION TANK ON PRIVATE PROPERTY,
palo alto,— Inspection,563 Rhodes Dr,Sep 11 2012,Permit Issued,Approved,12000-02106,Permit: #12000-02106,ADD A WET BAR AND VANITY OUTSIDE A BEDROOM,
palo alto,— Inspection,1970 Byron St,Oct 7 2013,Permit Issued,Approved,13000-02315,Permit: #13000-02315,REPLACE EXISTING WOOD SIDING WITH STUCCO ON DETACHED GARAGE ONLY. NO OTHER WORK,
palo alto,— Inspection,780 University Av,Feb 1 2013,Permit Issued,Rescheduled,13000-00155,Permit: #13000-00155,INSTALLATION OF RADON MITIGATION SYSTEM,
palo alto,— Inspection,2330 Carmel Dr,May 22 2013,Permit Issued,Approved,12000-03017,Permit: #12000-03017,RESIDENTIAL IN-GROUND SWIMMING POOL,
palo alto,— Inspection,777 Christine Dr,Jan 6 2012,Permit Issued,Approved,11000-02487,Permit: #11000-02487,RESIDENTIAL REMODEL INCLUDES KITCHEN REMODEL WITH NEW WINDOW AND NEW SKYLIGHT IN DESK AREA.,
palo alto,— Inspection,975 Stanley Wy,Nov 25 2013,Permit Issued,Approved,13000-02436,Permit: #13000-02947,TEMP POWER -PORT A POTTY,
palo alto,— Inspection,860 Marshall Dr,Mar 23 2011,Permit Issued,Approved,11000-00520,Permit: #11000-00520,WATER HEATER REPLACEMENT IN SAME LOCATION,
palo alto,— Inspection,355 El Verano Av,Oct 22 2013,Permit Issued,Approved,13000-02630,Permit: #13000-02630,COPPER REPIPE OF HOUSE,
palo alto,— Inspection,130 Lytton Av 200,Aug 1 2011,Permit Issued,Approved,11000-00518,Permit: #11000-00518,OFFICE TENENT IMPROVEMENT FOR EXISTING TENANT "A9"~ 750 SF INCLUDES 2 NEW OFFICES AND PARTITION WALL AND ASSOCIATED ELECTRICAL FINISHES.,
palo alto,— Inspection,3355 Waverley St,Oct 14 2014,Permit Issued,Scheduled,14000-02661,Res Remodel/Repair,ADD TWO SPREAD FOOTINGS BELOW THE HOUSE,
palo alto,— Inspection,3903 Middlefield Rd Unit F,Apr 8 2011,Permit Issued,Approved,11000-00514,Permit: #11000-00514,REMOVE AND REPLACE ALL DUCTING AND ISNTALL R-6 (INSULATED) 26 GA DUCT ONLY DUCTS VERIFY IN FIELD TYPE OF CONSTURCTION! (TYPE FIVE RATED),
palo alto,— Inspection,851 Warren Wy,Aug 3 2011,Permit Issued,Rescheduled,11000-00512,Permit: #11000-01830,TEMP POWER -TEMP POST,
palo alto,— Permit,3700 Middlefield Rd,Jul 15 2014,Permit Issued,Permit Issued,11000-03057,Revision,09000-00000-02795: STONE VENEER REPLACEMENT DEFERRED SUBMITAL AND CALCULATIONS,
palo alto,— Inspection,1841 Page Mill Rd,May 29 2015,Permit Issued,Rescheduled,15000-01135,Com Remodel/Repair,TENANT IMPROVEMENT FOR EXISTING FIRM PERKINS COIE. CONVERT 2 CONFERENCE ROOMS INTO SMALLER OFFICES AND CONVERT LOBBY TO CONFERENCE ROOM.,
palo alto,— Permit,2660 Bryant St,Feb 14 2012,Permit Issued,Permit Issued,10000-03103,Permit: #12REV-00086,10-3103: ADDING NEW STRUCTURAL DETAILS TO EXISTING PLANS FOR NEW 1-CAR DET GARAGE (231 SF),
palo alto,— Inspection,568 Irven Ct,Feb 24 2012,Permit Issued,Approved,11000-02644,Permit: #12000-00343,TEMP POWER -TEMP POST,
palo alto,— Permit,250 Cambridge Av,Jan 21 2014,Permit Issued,Permit Issued,14000-00184,Permit: #14000-00184,INSTALL TWO (2) ILLUMINATED SIGNS,
palo alto,Plam Check,180 El Camino Real Suite 359,Feb 12 2016,Permit Issued,Approved,15000-03295,Com Elect/Plbg/Mech only,INSTALL (5) LEVEL 3 CHARGERS IN DEDICATED PARKING SPOTS FOR TESLA RETAIL. NEW 400A SUBPANEL. (CON-CURRENT ARB),
palo alto,— Inspection,901 San Antonio Av,Aug 16 2013,Permit Issued,Approved,13000-02062,Permit: #13000-02062,BUILDING D CONDO 301: REMOVE AN INTERIOR NON-BEARING WALL BETWEEN THE KITCHEN AND THE ENTRY,
palo alto,— Permit,1011 Channing Av,Feb 15 2012,Permit Issued,Permit Issued,11000-03253,Permit: #12REV-00088,11000-03253: REMOVAL OF BEARING WALL BETWEEN THE KITCHEN AND PANTRY,
